"db.species","col.species","x","a1","a2","a3","a4","a5","a6","a7","a8","a9","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a31","a32","a36","a37","a38","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a61","a62","a63","a66","a67","a68","a70","a71","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","a90","a91","a92","a93","a95","a99","a100","a101","a102","a103","a104","check","kingdom","phylum","class","order","family","genus","gbif.species","gbif.species.id"
"Pelophylax cerigensis","Pelophylax cerigensis","a47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax cerigensis",2426670
"Pelophylax cretensis","Pelophylax cretensis","a48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax cretensis",2426672
"Pelophylax epeiroticus","Pelophylax epeiroticus","a50",0,0,0,0,0,0,0.54,0.97,0,0.97,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.81,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax epeiroticus",2426648
"Pelophylax kurtmuelleri","Pelophylax kurtmuelleri","a57",0,0,0,0,0,0,0.59,0.99,0,0.95,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0.51,0.03,0,0.5,0,0,0,0,1,0,0,0,0,0.1,0.04,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.93,0.46,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax kurtmuelleri",2426650
"Pelophylax lessonae","Pelophylax lessonae","a59",0,0,0,0.27,0.4,0,0.37,0.95,0.66,0.58,0,0,0,0,0,0,0,0,0,0.72,0.06,0,0,0,0,0,0,0.03,0,0,0.07,0,0,0.56,0,0,0,0,0.41,0,0.63,0,0,0,0,0,0,0.03,1,0,0,0.75,0.88,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.56,0,0.13,0.75,0.07,0.31,0,0,0.08,0.04,0,0.03,0,0.03,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax lessonae",2426654
"Pelophylax perezi","Pelophylax perezi","a61",0.18,0.02,0,0.6,0,0,0,0.97,0.87,0,0.14,0.54,0.23,0,0,0,0.02,0,0,0.67,0,0.34,0,0,0,0,0.7,0,0,0.16,0.49,0.42,0,0,0,0,0,0,0.03,0,0,0,0.08,0,0.28,0,0,0,0,1,0,0,0.25,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0.07,0.47,0,0.02,0,0.4,0,0,0.52,0,0.25,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax perezi",2426658
"Pelophylax ridibundus","Pelophylax ridibundus","a63",0,0,0,0.24,0.45,0,0.39,0.97,0.58,0.64,0,0,0,0,0,0,0,0,0,0.84,0,0.01,0,0,0,0,0,0,0.03,0,0.11,0,0.01,0.51,0,0,0,0,0.37,0,0.49,0.02,0.01,0,0,0,0.01,0,0.66,0,0,1,0.84,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.52,0,0.07,0.67,0.08,0.33,0,0.06,0.09,0.01,0,0.01,0,0,0,0,0.02,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax ridibundus",2426661
"Pleurodeles waltl","Pleurodeles waltl","a42",0.4,0.02,0,0.26,0,0,0,1,0.89,0,0,0.65,0.29,0,0,0,0,0,0,0.62,0,0.6,0,0,0,0,0.99,0,0,0.36,0.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,1,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0.03,0,0,0.21,0,0.58,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Pleurodeles","Pleurodeles waltl",2431875
"Proteus anguinus","Proteus anguinus","a43",0,0,0,0,0.01,0,0.25,0.84,0,0.61,0,0,0,0,0,0,0,0,0,0.42,0.03,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,0.23,0,0.03,0,0,0,0,0,0,0.03,0.09,0,0,0.28,0.05,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.22,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Proteidae","Proteus","Proteus anguinus",2432042
"Pseudepidalea balearica","Pseudepidalea balearica","a100",0,0,0,0,0,0.26,0.02,0.81,0,0,0,0,0,0.01,0,0.07,0,0.02,0.01,0,0.56,0.02,0.12,0,0,0,0,0.08,0,0,0.02,0,0,0,0,0.33,0,0,0.23,0,0.05,0,0,0.31,0,0.17,0,0.04,0.07,0,0,0,0.12,0,0.02,0,0.17,0.16,0.04,0.01,0,0,0.01,0.06,0,0.05,0,0.1,0,0.35,0,0,0,0.15,0,0,0,0,0,0,1,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","Pseudepidalea balearica",2422202
"Pseudepidalea boulengeri","Pseudepidalea boulengeri","a101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","Pseudepidalea boulengeri",2422225
"Pseudepidalea sicula","Pseudepidalea sicula","a102",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.42,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","Pseudepidalea sicula",2422209
"Pseudepidalea variabilis","Pseudepidalea variabilis","a103",0,0,0,0,0,0,0.34,1,0,1,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0.29,0.01,0,0.28,0,0,0,0,0.44,0,0,0,0,0.11,0.04,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0.22,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","Pseudepidalea variabilis",2422232
"Pseudepidalea viridis","Pseudepidalea viridis","a11",0,0,0,0.02,0.23,0,0.18,1,0.48,1,0,0,0,0,0,0,0,0,0,0.53,0.02,0,0,0,0,0,0,0,0.07,0,0,0,0.02,0.25,0,0,0,0,0.15,0,0.2,0.04,0,0,0,0,0.05,0.01,0.25,0,0,0.31,0.29,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.16,0,0.05,0.22,0.05,0.02,0,0.03,0,0.01,0,0.01,0,0,0,0,0.1,0.03,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","Pseudepidalea viridis",2422211
"Rana arvalis","Rana arvalis","a44",0,0,0,0.02,0.21,0,0.08,0.86,0.25,0.28,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,0,0.2,0,0,0,0,0,0,0,0.27,0,0,0.28,0.97,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.12,0,0.02,0.48,0.03,0.04,0,0,0,0.01,0,0.01,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana arvalis",2426789
"Rana dalmatina","Rana dalmatina","a49",0,0,0,0.33,0.18,0.1,0.55,1,0.41,0.4,0,0,0,0,0,0,0,0,0,0.67,0.16,0.02,0,0,0,0,0,0.02,0.07,0,0.11,0,0.02,0.19,0,0.11,0,0,1,0,0.33,0.07,0.01,0.1,0,0.06,0.07,0.02,0.48,0.01,0,0.49,0.76,0,0,0,0.47,0.04,0.01,0,0,0,0,0.02,0,0.02,0,0.6,0,0.23,0.47,0.06,0.33,0.05,0.05,0.15,0.06,0,0.07,0,0.13,0,0,0.08,0.04,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana dalmatina",2426760
"Rana graeca","Rana graeca","a52",0,0,0,0,0,0,0.83,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.73,0.01,0,1,0,0,0,0,0.69,0,0,0,0,0.29,0.19,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0.82,0.45,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana graeca",2426795
"Rana iberica","Rana iberica","a55",0.1,0,0,0.96,0,0,0,1,1,0,0.43,0.79,0.03,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0.51,0,0,0,0.21,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.67,0,0,0.4,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0.13,0.91,0,0,0,0.66,0,0,0.85,0,0.1,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana iberica",2426774
"Rana italica","Rana italica","a56",0,0,0,0,0,0.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.04,0,0,0,0,0,0.02,0,0,0.03,0,0,0,0,0.95,0,0,0.55,0,0.02,0,0,0.83,0,1,0,0.01,0.02,0,0,0,0.32,0,0,0,0.49,0.64,0.16,0.04,0,0,0,0.19,0,0.1,0,0.33,0,0.93,0,0,0,0.34,0,0,0,0,0,0,0.87,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana italica",2426815
"Rana latastei","Rana latastei","a58",0,0,0,0,0,0,0.26,0.93,0,0.35,0,0,0,0,0,0,0,0,0,0.07,0.9,0,0,0,0,0,0,0.63,0,0,0,0,0.04,0,0,0,0,0,0.39,0,0.53,0,0,0,0,0.02,0,1,0.87,0,0,0.05,0.71,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.36,0,0.92,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana latastei",2426788
"Rana pyrenaica","Rana pyrenaica","a62",0,0,0,1,0,0,0,1,1,0,0,0,0.08,0,0,0,1,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,1,0,0.7,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0.52,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana pyrenaica",2426793
"Rana temporaria","Rana temporaria","a66",0,0,0,0.13,0.11,0.01,0.17,0.83,0.26,0.18,0.01,0.01,0,0,0,0,0,0,0,0.3,0.03,0.01,0,0,0,0,0.01,0.01,0,0,0.07,0,0,0.54,0,0.01,0,0,0.18,0,0.18,0,0.01,0.01,0.01,0.01,0,0.01,0.24,0.02,0,0.26,1,0,0,0,0.16,0.01,0,0,0,0,0,0,0,0.01,0,0.27,0.01,0.06,0.5,0.01,0.23,0,0.01,0.08,0.03,0,0.02,0,0.02,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana temporaria",2426805
"Salamandra atra","Salamandra atra","a67",0,0,0,0,0,0,0.58,1,0,0.98,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0.2,0,0,0,0,0,0,0.01,0.43,0,0,0,0.59,1,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0.59,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Salamandra","Salamandra atra",2431781
"Salamandra corsica","Salamandra corsica","a68",0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0.72,0,0.67,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Salamandra","Salamandra corsica",2431779
"Salamandra lanzai","Salamandra lanzai","a70",0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,1,0.34,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Salamandra","Salamandra lanzai",2431780
"Salamandra salamandra","Salamandra salamandra","a71",0.01,0,0,0.36,0.07,0.04,0.34,1,0.45,0.32,0.05,0.08,0.01,0,0,0,0.01,0,0,0.66,0.11,0.05,0,0,0,0,0.08,0.01,0.04,0.01,0.2,0.01,0.02,0.09,0,0.04,0,0,0.35,0,0.06,0.03,0.01,0.03,0.07,0.04,0.02,0.01,0.21,0.08,0,0.24,0.53,0,0,0,1,0.05,0.01,0,0,0,0,0.02,0,0.03,0,0.43,0.08,0.16,0.23,0.01,0.22,0.01,0.03,0.14,0.05,0.01,0.03,0,0.07,0,0,0.05,0.02,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Salamandra","Salamandra salamandra",2431776
"Salamandrina perspicillata","Salamandrina perspicillata","a73",0,0,0,0,0,0.61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.07,0,0,0,0,0,0.01,0,0,0.05,0,0,0,0,0.63,0,0,0.42,0,0.01,0,0,0.53,0,0.67,0,0,0.01,0,0,0,0.32,0,0,0,0.59,1,0,0.06,0,0,0,0.27,0,0.16,0,0.3,0,0.67,0,0,0,0.07,0,0,0,0,0,0,0.83,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Salamandrina","Salamandrina perspicillata",2431851
"Salamandrina terdigitata","Salamandrina terdigitata","a74",0,0,0,0,0,0.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0.42,0,0,0,0,0.62,0,0.69,0,0,0,0,0,0,0,0,0,0,0.55,0,1,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0.69,0,0,0,0,0,0,0.96,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Salamandrina","Salamandrina terdigitata",2431852
"Speleomantes ambrosii","Speleomantes ambrosii","a75",0,0,0,0,0,0.46,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0.45,0,0,0,0,0.44,0,0.46,0,0,0,0,0,0,0.47,0,0,0,0.71,0.68,0,1,0,0,0,0.32,0,0.36,0,0.47,0,0.47,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes ambrosii",2431455
"Speleomantes flavus","Speleomantes flavus","a76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.12,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes flavus",2431457
"Speleomantes imperialis","Speleomantes imperialis","a78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0.16,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes imperialis",2431452
"Speleomantes italicus","Speleomantes italicus","a79",0,0,0,0,0,0.46,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0.45,0,0,0,0,0.42,0,0.46,0,0,0,0,0,0,0.37,0,0,0,0.63,0.63,0,0.06,0,0,0,1,0,0,0,0.3,0,0.46,0,0,0,0.03,0,0,0,0,0,0,0.71,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes italicus",2431456
"Speleomantes sarrabusensis","Speleomantes sarrabusensis","a80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.13,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes sarrabusensis",2431454
"Speleomantes strinatii","Speleomantes strinatii","a81",0,0,0,0,0,0.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.31,0,0,0,0,0,0.02,0,0,0.32,0,0,0,0,0.15,0,0,0.35,0,0,0,0,0.05,0,0.22,0,0,0.04,0,0,0,0.45,0,0,0,0.67,0.34,0,0.06,0,0,0,0,0,1,0,0.36,0,0.31,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes strinatii",2431453
"Speleomantes supramontis","Speleomantes supramontis","a82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0.32,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Speleomantes","Speleomantes supramontis",2431451
"Triturus carnifex","Triturus carnifex","a85",0,0,0,0,0.08,0.34,0.41,1,0,0.31,0,0,0,0,0,0,0,0,0,0.33,0.6,0.02,0,0,0,0,0,0.09,0,0,0.02,0,0.03,0.1,0,0.4,0,0,0.55,0,0.22,0,0,0.36,0,0.25,0,0.09,0.37,0,0,0.23,0.63,0.01,0,0,0.51,0.17,0.03,0.01,0,0,0,0.05,0,0.04,0,0.55,0,1,0.02,0.01,0,0.16,0,0,0,0,0,0,0.46,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Triturus","Triturus carnifex",2431887
"Triturus cristatus","Triturus cristatus","a86",0,0,0,0.17,0.2,0,0.21,0.93,0.43,0.27,0,0,0,0,0,0,0,0,0,0.43,0,0.01,0,0,0,0,0,0,0,0,0.09,0,0,0.54,0,0,0,0,0.22,0,0.32,0,0,0,0,0,0,0,0.41,0,0,0.41,0.99,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.35,0,0,1,0,0.34,0,0,0.07,0.05,0,0.03,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Triturus","Triturus cristatus",2431885
"Triturus dobrogicus","Triturus dobrogicus","a87",0,0,0,0,0.98,0,0.23,1,0.02,0.97,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.6,0,0,0,0,0.41,0,0.66,0,0,0,0,0,0,0,0.57,0,0,0.79,0.24,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.17,0,0.03,0.04,1,0,0,0,0,0,0,0.14,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Triturus","Triturus dobrogicus",2431891
"Triturus karelinii","Triturus karelinii","a90",0,0,0,0,0.46,0,0.83,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0.63,0,0,0.29,0,0,0,0,0.11,0,0,0,0,1,0.45,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.31,0.02,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Triturus","Triturus karelinii",2431890
"Triturus macedonicus","Triturus macedonicus","a104",0,0,0,0,0,0,0.85,0.98,0,0.96,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0.52,0.05,0,0.59,0,0,0,0,0.84,0,0,0,0,0.04,0.06,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.87,1,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Triturus","Triturus macedonicus",2431888
"Triturus marmoratus","Triturus marmoratus","a91",0.02,0,0,0.83,0,0,0.08,1,0.84,0,0.12,0.29,0.06,0,0,0,0.02,0,0,0.88,0,0.1,0,0,0,0,0.35,0,0,0,0.46,0.07,0,0,0,0,0,0,0.3,0,0.13,0,0.07,0,0.27,0,0,0,0.17,0.4,0,0.22,0.65,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0.31,0.28,0,0.31,0,0.84,0,0,1,0,0.01,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Triturus","Triturus marmoratus",2431886
"Triturus pygmaeus","Triturus pygmaeus","a93",0.56,0.02,0,0.08,0,0,0,1,0.99,0,0,0.5,0.14,0,0,0,0,0,0,0.61,0,0.92,0,0,0,0,0.97,0,0,0.31,0.15,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0.59,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0.04,0,1,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Triturus","Triturus pygmaeus",2431889
